Clock frequency is approx. 2500.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	10421	5763	4045	3076	2507	2168	1874	1676	1575	1488	1378	1316	1323	1239	1250	
64m	10652	6182	4412	3431	2820	2358	2098	1802	1677	1553	1583	1477	1515	1441	1466	
32m	11027	7444	5435	4320	3483	2952	2753	2191	2178	2314	2241	2123	2390	2112	2624	
16m	17969	11694	7940	5857	4890	4058	3432	3060	3004	2858	2886	2769	2803	2738	2749	
8m	20286	12516	8425	6314	5060	4221	3617	3159	3006	2953	2886	2810	2776	2760	2742	
4m	21411	12895	8503	6373	5095	4280	3631	3167	3046	2937	2891	2834	2781	2752	2749	
2m	21710	12836	8832	6376	5117	4329	3674	3212	3201	3183	3310	3494	3791	4206	4612	
1024k	24571	18948	16898	14792	12707	10990	9543	8448	9611	11656	12060	14471	14401	14965	14863	
512k	26222	21411	20811	20604	19207	18507	16961	15318	16085	14760	14353	14579	14224	14246	14075	
256k	26524	21744	21489	21162	19621	17988	16362	18601	16564	16441	16394	16640	16024	16141	17174	
128k	26520	21998	21871	21822	21236	19518	18342	18450	15788	15663	15661	16793	15520	15521	14942	
64k	26434	21799	21810	21558	21278	20107	18458	17778	16578	15813	15743	18805	15147	15119	22474	
32k	33220	32100	31530	30843	29678	28925	28404	27527	29355	29460	31547	28437	27155	27594	33293	
16k	33574	31703	31170	29767	29460	28437	26835	32000	29545	31023	29082	28919	28636	29847	29674	
